,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Location,FAA,IATA,ICAO,Name,Designation,Enplanements,URL,checked
37,37,37,37,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"6,582,066","https://www.google.com/maps/place/Louis+Armstrong+New+Orleans+International+Airport/@29.9910905,-90.2614186,17z/data=!4m7!3m6!1s0x8620b7747a837831:0xfae3336b9ce9d1d0!8m2!3d29.9910905!4d-90.2592299!9m1!1b1",1
38,38,38,38,Raleigh,RDU,RDU,KRDU,Raleigh–Durham International Airport,P-M,"6,258,101","https://www.google.com/maps/place/Raleigh-Durham+International+Airport/@35.8766672,-78.7980833,17z/data=!3m1!4b1!4m5!3m4!1s0x89acf1c31b2713fd:0xcc796eda33492f57!8m2!3d35.8766673!4d-78.7938561",1
39,39,39,39,Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"5,907,629","https://www.google.com/maps/place/Sacramento+International+Airport/@38.6950853,-121.594292,17z/data=!3m1!4b1!4m5!3m4!1s0x809b2b73ce6a70ad:0xa460901228ef4232!8m2!3d38.6950854!4d-121.5900648",1
40,40,40,40,Kansas City,MCI,MCI,KMCI,Kansas City International Airport (was Mid-Continent International),P-M,"5,790,847","https://www.google.com/maps/place/Kansas+City+International+Airport/@39.3035862,-94.7114483,17z/data=!3m1!4b1!4m5!3m4!1s0x87c05e0888e68799:0xc3cdd0195d2edaa0!8m2!3d39.3035862!4d-94.7092596",1
41,41,41,41,Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,201,642","https://www.google.com/maps/place/John+Wayne+Airport/@33.67619,-117.8717031,17z/data=!3m1!4b1!4m5!3m4!1s0x80dcdeedcbab40ef:0xc941e8f5c31119e2!8m2!3d33.6761901!4d-117.8674759",1
42,42,42,42,San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,844,427","https://www.google.com/maps/place/San+Antonio+International+Airport/@29.5311972,-98.4725756,17z/data=!3m1!4b1!4m5!3m4!1s0x865c8abbb1cb8027:0xfa6173ab1a2fcc52!8m2!3d29.5311973!4d-98.4683484",1
43,43,43,43,Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport,P-M,"4,701,713","https://www.google.com/maps/place/Cleveland+Hopkins+International+Airport/@41.4057985,-81.8538669,17z/data=!4m7!3m6!1s0x8830eced544890cd:0xbbaf031e9364e392!8m2!3d41.4057985!4d-81.8538669!9m1!1b1",1
44,44,44,44,Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"4,670,033","https://www.google.com/maps/place/Pittsburgh+International+Airport/@40.4919208,-80.237412,17z/data=!3m1!4b1!4m5!3m4!1s0x88345cc34ecd5b37:0xc812270d148d3f59!8m2!3d40.4919208!4d-80.2352233",1
45,45,45,45,Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,655,847","https://www.google.com/maps/place/Indianapolis+International+Airport/@39.7168593,-86.2977839,17z/data=!3m1!4b1!4m5!3m4!1s0x886ca7aaf0a1ffa1:0x248add2283fd672f!8m2!3d39.7168593!4d-86.2955952",1
46,46,46,46,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"4,602,113","https://www.google.com/maps/place/Southwest+Florida+International+Airport/@26.533705,-81.7595355,17z/data=!3m1!4b1!4m5!3m4!1s0x88db133fbf250581:0xfc189f0e4f154e46!8m2!3d26.5337051!4d-81.7553083",1
